Control,Treated
0.29881681,1.69252658
1.89333338,2.11856909
1.07737776,2.62339988
1.13821222,1.45434910
2.49788855,2.39512496
1.73753605,0.37689267
1.71602784,0.76550393
1.16137113,2.06251085
1.29776449,0.85133070
1.11503329,1.53054559
0.82916992,2.16076293
1.25765020,1.42332648
0.38115747,1.76376795
0.52385414,2.98948570
0.88834417,4.22541199
2.43184105,1.84765995
1.03350792,0.65840216
1.15084990,2.06237217
2.02447007,2.55148850
1.12515367,1.38007701
1.22938755,3.10796458
1.06587524,1.26568592
1.10655892,4.76944675
1.07940130,1.02704679
1.52028980,2.52088725
1.09341144,0.82557138
2.21241264,0.70361406
0.71427287,2.73667059
1.02458877,0.65953740
0.88117846,4.68854067
1.48849179,4.77652329
1.09840354,4.20411859
2.24940223,3.46749122
1.63282469,3.14064718
0.60852221,3.09808162
0.67391804,2.76841306
0.90484453,2.49225453
0.62049936,2.26385134
2.18442491,2.23834829
0.66416218,2.07749479
1.43070526,2.07356576
2.68573363,1.98404668
1.45452686,1.89677998
1.23773501,1.84142481
1.43070526,2.07749479